"Search Query", "URL"
"peek a boo", "https://soundcloud.com/search?q=peek%20a%20boo"
"instrumental", "https://soundcloud.com/search?q=instrumental"
"portland", "https://soundcloud.com/search?q=portland"
"quavo", "https://soundcloud.com/search?q=quavo"
"tink", "https://soundcloud.com/search?q=tink"
"madeintyo", "https://soundcloud.com/search?q=madeintyo"
"damn", "https://soundcloud.com/search?q=damn"
"draco", "https://soundcloud.com/search?q=draco"
"panic at the disco", "https://soundcloud.com/search?q=panic%20at%20the%20disco"
"black beatles", "https://soundcloud.com/search?q=black%20beatles"
"tyler the creator", "https://soundcloud.com/search?q=tyler%20the%20creator"
"issues julia michaels", "https://soundcloud.com/search?q=issues%20julia%20michaels"
"both", "https://soundcloud.com/search?q=both"
"deep throat", "https://soundcloud.com/search?q=deep%20throat"
"xxx", "https://soundcloud.com/search?q=xxx"
"melanie martinez", "https://soundcloud.com/search?q=melanie%20martinez"
"russ losin control", "https://soundcloud.com/search?q=russ%20losin%20control"
"dna kendrick lamar", "https://soundcloud.com/search?q=dna%20kendrick%20lamar"
"6lack", "https://soundcloud.com/search?q=6lack"
"kid cudi", "https://soundcloud.com/search?q=kid%20cudi"
"lil boosie", "https://soundcloud.com/search?q=lil%20boosie"
"dna", "https://soundcloud.com/search?q=dna"
"flex like ouu", "https://soundcloud.com/search?q=flex%20like%20ouu"
"moana", "https://soundcloud.com/search?q=moana"
"despacito justin bieber", "https://soundcloud.com/search?q=despacito%20justin%20bieber"
"passionfruit drake", "https://soundcloud.com/search?q=passionfruit%20drake"
"logic everybody", "https://soundcloud.com/search?q=logic%20everybody"
"flume", "https://soundcloud.com/search?q=flume"
"skrillex", "https://soundcloud.com/search?q=skrillex"
"spm", "https://soundcloud.com/search?q=spm"
"horses", "https://soundcloud.com/search?q=horses"
"you belong to somebody else", "https://soundcloud.com/search?q=you%20belong%20to%20somebody%20else"
"uicideboy", "https://soundcloud.com/search?q=uicideboy"
"drake portland", "https://soundcloud.com/search?q=drake%20portland"
"anuel", "https://soundcloud.com/search?q=anuel"
"speaker knockerz", "https://soundcloud.com/search?q=speaker%20knockerz"
"kur", "https://soundcloud.com/search?q=kur"
"denzel curry", "https://soundcloud.com/search?q=denzel%20curry"
"xxxtentacion take a step back", "https://soundcloud.com/search?q=xxxtentacion%20take%20a%20step%20back"
"redbone childish gambino", "https://soundcloud.com/search?q=redbone%20childish%20gambino"
"good drank", "https://soundcloud.com/search?q=good%20drank"
"drake fake love", "https://soundcloud.com/search?q=drake%20fake%20love"
"50 cent", "https://soundcloud.com/search?q=50%20cent"
"sob", "https://soundcloud.com/search?q=sob"
"daddy yankee", "https://soundcloud.com/search?q=daddy%20yankee"
"everybody logic", "https://soundcloud.com/search?q=everybody%20logic"
"french montana", "https://soundcloud.com/search?q=french%20montana"
"king lil g", "https://soundcloud.com/search?q=king%20lil%20g"
"tyga", "https://soundcloud.com/search?q=tyga"
"i dont wanna do this anymore", "https://soundcloud.com/search?q=i%20dont%20wanna%20do%20this%20anymore"
"bob marley", "https://soundcloud.com/search?q=bob%20marley"
"alkaline", "https://soundcloud.com/search?q=alkaline"
"yo gotti", "https://soundcloud.com/search?q=yo%20gotti"
"rae sremmurd swang", "https://soundcloud.com/search?q=rae%20sremmurd%20swang"
"ricegum", "https://soundcloud.com/search?q=ricegum"
"2pac", "https://soundcloud.com/search?q=2pac"
"woke up", "https://soundcloud.com/search?q=woke%20up"
"losin control", "https://soundcloud.com/search?q=losin%20control"
"jhene aiko", "https://soundcloud.com/search?q=jhene%20aiko"
"t shirt migos", "https://soundcloud.com/search?q=t%20shirt%20migos"
"2 chainz", "https://soundcloud.com/search?q=2%20chainz"
"chris brown party", "https://soundcloud.com/search?q=chris%20brown%20party"
"cheif keef", "https://soundcloud.com/search?q=cheif%20keef"
"the weekend", "https://soundcloud.com/search?q=the%20weekend"
"marco antonio sol s", "https://soundcloud.com/search?q=marco%20antonio%20sol%20s"
"post malone congratulations", "https://soundcloud.com/search?q=post%20malone%20congratulations"
"jeremih", "https://soundcloud.com/search?q=jeremih"
"nicky jam", "https://soundcloud.com/search?q=nicky%20jam"
"jacquees dej loaf", "https://soundcloud.com/search?q=jacquees%20dej%20loaf"
